id,geometry
22,"POLYGON ((-87.5740543413217 42.03264516381304, -87.58237388089435 42.02784187540124, -87.58237388089435 42.01823529857762, -87.5740543413217 42.01343201016582, -87.56573480174904 42.01823529857762, -87.56573480174904 42.02784187540124, -87.5740543413217 42.03264516381304))"
23,"POLYGON ((-87.55741526217639 42.03264516381304, -87.56573480174904 42.02784187540124, -87.56573480174904 42.01823529857762, -87.55741526217639 42.01343201016582, -87.54909572260374 42.01823529857762, -87.54909572260374 42.02784187540124, -87.55741526217639 42.03264516381304))"
24,"POLYGON ((-87.54077618303108 42.03264516381304, -87.54909572260374 42.02784187540124, -87.54909572260374 42.01823529857762, -87.54077618303108 42.01343201016582, -87.53245664345843 42.01823529857762, -87.53245664345843 42.02784187540124, -87.54077618303108 42.03264516381304))"
25,"POLYGON ((-87.9317945429458 42.01823529857762, -87.94011408251845 42.01343201016582, -87.94011408251845 42.00382543334221, -87.9317945429458 41.99902214493041, -87.92347500337314 42.00382543334221, -87.92347500337314 42.01343201016582, -87.9317945429458 42.01823529857762))"
26,"POLYGON ((-87.91515546380049 42.01823529857762, -87.92347500337314 42.01343201016582, -87.92347500337314 42.00382543334221, -87.91515546380049 41.99902214493041, -87.90683592422783 42.00382543334221, -87.90683592422783 42.01343201016582, -87.91515546380049 42.01823529857762))"
27,"POLYGON ((-87.89851638465518 42.01823529857762, -87.90683592422783 42.01343201016582, -87.90683592422783 42.00382543334221, -87.89851638465518 41.99902214493041, -87.89019684508253 42.00382543334221, -87.89019684508253 42.01343201016582, -87.89851638465518 42.01823529857762))"
28,"POLYGON ((-87.88187730550987 42.01823529857762, -87.89019684508253 42.01343201016582, -87.89019684508253 42.00382543334221, -87.88187730550987 41.99902214493041, -87.87355776593722 42.00382543334221, -87.87355776593722 42.01343201016582, -87.88187730550987 42.01823529857762))"
29,"POLYGON ((-87.86523822636457 42.01823529857762, -87.87355776593722 42.01343201016582, -87.87355776593722 42.00382543334221, -87.86523822636457 41.99902214493041, -87.85691868679191 42.00382543334221, -87.85691868679191 42.01343201016582, -87.86523822636457 42.01823529857762))"
30,"POLYGON ((-87.84859914721926 42.01823529857762, -87.85691868679191 42.01343201016582, -87.85691868679191 42.00382543334221, -87.84859914721926 41.99902214493041, -87.84027960764661 42.00382543334221, -87.84027960764661 42.01343201016582, -87.84859914721926 42.01823529857762))"
31,"POLYGON ((-87.83196006807395 42.01823529857762, -87.84027960764661 42.01343201016582, -87.84027960764661 42.00382543334221, -87.83196006807395 41.99902214493041, -87.8236405285013 42.00382543334221, -87.8236405285013 42.01343201016582, -87.83196006807395 42.01823529857762))"
32,"POLYGON ((-87.81532098892865 42.01823529857762, -87.8236405285013 42.01343201016582, -87.8236405285013 42.00382543334221, -87.81532098892865 41.99902214493041, -87.80700144935599 42.00382543334221, -87.80700144935599 42.01343201016582, -87.81532098892865 42.01823529857762))"
33,"POLYGON ((-87.79868190978334 42.01823529857762, -87.80700144935599 42.01343201016582, -87.80700144935599 42.00382543334221, -87.79868190978334 41.99902214493041, -87.79036237021069 42.00382543334221, -87.79036237021069 42.01343201016582, -87.79868190978334 42.01823529857762))"
