id,geometry
988,"MULTIPOLYGON (((-87.5474279435 41.6509406307, -87.5480411657 41.6501605123, -87.54924854390001 41.650168755, -87.5498427301 41.6509571166, -87.5492295227 41.6517372447, -87.5480221152 41.6517290015, -87.5474279435 41.6509406307)))"
989,"MULTIPOLYGON (((-87.5456264099 41.6501439888, -87.546239645 41.64936388, -87.5474470078 41.6493721415, -87.5480411657 41.6501605123, -87.5474279435 41.6509406307, -87.5462205514 41.6509323687, -87.5456264099 41.6501439888)))"
991,"MULTIPOLYGON (((-87.5420042802 41.6501191085, -87.5426175585 41.6493390194, -87.54382492000001 41.6493473189, -87.544419033 41.650135708, -87.5438057679 41.6509158068, -87.54259837710001 41.6509075067, -87.5420042802 41.6501191085)))"
992,"MULTIPOLYGON (((-87.5401835972 41.6508908687, -87.54079690499999 41.6501107897, -87.5420042802 41.6501191085, -87.54259837710001 41.6509075067, -87.54198508339999 41.6516875954, -87.5407776789 41.6516792761, -87.5401835972 41.6508908687)))"
993,"MULTIPOLYGON (((-87.5383821551 41.650094114, -87.5389954768 41.6493140446, -87.5402028372 41.6493223822, -87.54079690499999 41.6501107897, -87.5401835972 41.6508908687, -87.5389762075 41.6508825306, -87.5383821551 41.650094114)))"
1019,"MULTIPOLYGON (((-87.8535102492 41.6534102295, -87.85411981750001 41.6526284576, -87.8553273137 41.6526334854, -87.8559252706 41.6534202855, -87.8553157165 41.6542020669, -87.85410819099999 41.6541970387, -87.8535102492 41.6534102295)))"
1020,"MULTIPOLYGON (((-87.8516931421 41.6541869444, -87.8523027395 41.6534051824, -87.8535102492 41.6534102295, -87.85410819099999 41.6541970387, -87.8534986076 41.6549788103, -87.8522910686 41.654973763, -87.8516931421 41.6541869444)))"
1150,"MULTIPOLYGON (((-87.61623272280001 41.6529591141, -87.6168451388 41.6521786224, -87.6180525737 41.6521861427, -87.6186476228 41.6529741552, -87.6180352203 41.6537546565, -87.61682775609999 41.6537471358, -87.61623272280001 41.6529591141)))"
1153,"MULTIPOLYGON (((-87.61080796980001 41.6521408306, -87.61142044269999 41.6513603682, -87.6126278612 41.6513679453, -87.6132228357 41.6521559854, -87.6126103767 41.6529364575, -87.61140292899999 41.6529288799, -87.61080796980001 41.6521408306)))"
1157,"MULTIPOLYGON (((-87.6035633819 41.652095062, -87.6041759413 41.6513146388, -87.60538335699999 41.6513222921, -87.6059782423 41.6521103689, -87.60536569680001 41.6528908017, -87.6041582519 41.652883148, -87.6035633819 41.652095062)))"
1158,"MULTIPOLYGON (((-87.601743363 41.6528678026, -87.60235595260001 41.6520873895, -87.6035633819 41.652095062, -87.6041582519 41.652883148, -87.6035456771 41.6536635708, -87.60233821849999 41.6536558979, -87.601743363 41.6528678026)))"
1186,"MULTIPOLYGON (((-87.5510311459 41.6525338306, -87.5516443394 41.651753693, -87.5528517493 41.6517618981, -87.5534459941 41.6525502413, -87.55283281449999 41.6533303886, -87.55162537530001 41.6533221831, -87.5510311459 41.6525338306)))"
1187,"MULTIPOLYGON (((-87.5492295227 41.6517372447, -87.5498427301 41.6509571166, -87.5510501239 41.6509653405, -87.5516443394 41.651753693, -87.5510311459 41.6525338306, -87.5498237228 41.6525256063, -87.5492295227 41.6517372447)))"
1188,"MULTIPOLYGON (((-87.54740887769999 41.6525091194, -87.5480221152 41.6517290015, -87.5492295227 41.6517372447, -87.5498237228 41.6525256063, -87.5492105001 41.6533057339, -87.5480030633 41.6532974902, -87.54740887769999 41.6525091194)))"
1189,"MULTIPOLYGON (((-87.5456073009 41.6517124771, -87.5462205514 41.6509323687, -87.5474279435 41.6509406307, -87.5480221152 41.6517290015, -87.54740887769999 41.6525091194, -87.5462014563 41.652500857, -87.5456073009 41.6517124771)))"
1190,"MULTIPOLYGON (((-87.5437866142 41.6524842941, -87.54439989470001 41.6517041959, -87.5456073009 41.6517124771, -87.5462014563 41.652500857, -87.5455881904 41.6532809649, -87.5443807549 41.6532726833, -87.5437866142 41.6524842941)))"
