big_hexagon_id,thirtymins,harmful,not_harmful,median,mean,max,min,sum,count
41.0,2020-06-28 21:00:00,0.0,0.0,14.0,15.78391959798995,27.0,13.0,15705.0,995.0
41.0,2020-06-28 21:00:00,0.0,1.0,12.0,11.784313725490195,12.0,10.0,1202.0,102.0
42.0,2020-06-28 21:00:00,0.0,0.0,14.0,13.853185595567867,18.0,13.0,5001.0,361.0
42.0,2020-06-28 21:00:00,0.0,1.0,12.0,11.428571428571427,12.0,10.0,2960.0,259.0
42.0,2020-06-28 21:30:00,0.0,0.0,13.0,13.535064935064936,16.0,13.0,5211.0,385.0
42.0,2020-06-28 21:30:00,0.0,1.0,11.0,10.976404494382024,12.0,9.0,9769.0,890.0
53.0,2019-05-16 13:00:00,0.0,1.0,2.0,1.991379310344828,4.0,1.0,231.0,116.0
53.0,2019-05-16 13:30:00,0.0,0.0,14.0,16.285714285714285,24.0,13.0,570.0,35.0
53.0,2019-05-16 13:30:00,0.0,1.0,2.0,3.7664670658682633,12.0,0.0,1887.0,501.0
54.0,2017-09-22 09:00:00,0.0,0.0,29.35,29.04875,31.48,27.09,464.78,16.0
54.0,2019-05-16 13:00:00,0.0,1.0,2.5,2.590909090909091,4.0,1.0,57.0,22.0
54.0,2019-05-16 13:30:00,0.0,1.0,1.0,1.4908376963350785,8.0,0.0,1139.0,764.0
56.0,2019-10-19 15:30:00,0.0,1.0,1.0,0.875,2.0,0.0,7.0,8.0
56.0,2019-10-19 20:30:00,0.0,1.0,8.0,7.3,8.0,6.0,73.0,10.0
58.0,2019-10-19 15:00:00,0.0,1.0,3.0,2.8682432432432434,6.0,0.0,849.0,296.0
58.0,2019-10-19 21:00:00,0.0,0.0,16.0,15.664705882352939,19.0,13.0,2663.0,170.0
58.0,2019-10-19 21:00:00,0.0,1.0,10.5,10.366071428571429,12.0,7.0,1161.0,112.0
59.0,2019-10-19 15:00:00,0.0,1.0,2.0,1.875,5.0,0.0,300.0,160.0
59.0,2019-10-19 21:00:00,0.0,0.0,16.0,15.762711864406779,19.0,13.0,930.0,59.0
59.0,2019-10-19 21:00:00,0.0,1.0,10.0,9.806451612903226,12.0,7.0,912.0,93.0
60.0,2019-05-14 17:30:00,0.0,1.0,1.0,1.3,2.0,1.0,13.0,10.0
60.0,2019-05-15 05:30:00,0.0,1.0,5.0,4.758241758241757,6.0,3.0,433.0,91.0
60.0,2020-06-21 15:00:00,0.0,1.0,4.0,4.282115869017632,7.0,2.0,3400.0,794.0
60.0,2020-06-21 16:30:00,0.0,1.0,5.0,4.673267326732673,6.0,3.0,944.0,202.0
60.0,2020-06-21 17:00:00,0.0,1.0,5.0,5.121457489878543,7.0,3.0,1265.0,247.0
61.0,2019-05-14 17:30:00,0.0,1.0,0.0,0.4146341463414634,1.0,0.0,17.0,41.0
61.0,2019-05-15 05:30:00,0.0,1.0,4.0,4.386666666666667,6.0,3.0,329.0,75.0
61.0,2020-06-21 15:00:00,0.0,1.0,4.0,3.851063829787234,5.0,3.0,181.0,47.0
61.0,2020-06-21 17:00:00,0.0,1.0,5.0,5.03125,6.0,4.0,161.0,32.0
64.0,2017-09-15 17:00:00,0.0,0.0,12.38,12.583529411764697,13.8,12.08,427.8399999999999,34.0
64.0,2017-09-15 17:00:00,0.0,1.0,10.15,10.176255506607928,12.0,7.34,4620.02,454.0
64.0,2017-09-15 17:30:00,0.0,0.0,12.9,13.279433962264154,16.48,12.08,703.8100000000003,53.0
64.0,2017-09-15 17:30:00,0.0,1.0,9.63,9.404169960474313,12.0,5.42,4758.510000000001,506.0
64.0,2017-10-13 14:00:00,0.0,0.0,12.305,12.347999999999999,12.75,12.08,123.48,10.0
64.0,2017-10-13 14:00:00,0.0,1.0,9.48,9.303171206225684,12.0,5.11,4781.830000000002,514.0
64.0,2018-01-24 11:30:00,0.0,0.0,20.255,20.683333333333334,22.44,19.81,124.1,6.0
64.0,2020-05-21 13:00:00,0.0,0.0,13.0,13.0,13.0,13.0,26.0,2.0
64.0,2020-05-21 13:00:00,0.0,1.0,3.0,3.638095238095238,12.0,1.0,1528.0,420.0
64.0,2020-06-16 12:30:00,0.0,0.0,14.0,14.617021276595745,20.0,13.0,687.0,47.0
64.0,2020-06-16 12:30:00,0.0,1.0,11.0,10.643617021276595,12.0,7.0,2001.0,188.0
64.0,2020-06-16 13:00:00,0.0,0.0,13.0,13.0,13.0,13.0,182.0,14.0
64.0,2020-06-16 13:00:00,0.0,1.0,10.0,10.573770491803279,12.0,9.0,645.0,61.0
64.0,2020-06-28 14:30:00,0.0,1.0,8.0,7.424242424242424,9.0,6.0,245.0,33.0
65.0,2017-09-15 17:00:00,0.0,0.0,12.75,13.470422535211268,19.61,12.08,956.4,71.0
